,tweet_id,text,rating_numerator,rating_denominator,retweet_count,favorite_count,name,dogs_stage,dog_breed,prediction,timestamp,jpg_url
1158,666020888022790149,Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. 8/10 would pet https://t.co/BLDqew2Ijj,8.0,10.0,419,2282,None,None,Welsh_springer_spaniel,0.465074,2015-11-15,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg
97,666033412701032449,Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. 9/10 would cuddle af https://t.co/y671yMhoiR,9.0,10.0,36,100,a,None,German_shepherd,0.596461,2015-11-15,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg
96,666029285002620928,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI,7.0,10.0,39,112,a,None,redbone,0.506826,2015-11-15,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg
76,666287406224695296,This is an Albanian 3 1/2 legged  Episcopalian. Loves well-polished hardwood flooring. Penis on the collar. 9/10 https://t.co/d9NcXFKwLv,9.0,10.0,55,123,an,None,Maltese_dog,0.8575309999999999,2015-11-16,https://pbs.twimg.com/media/CT8g3BpUEAAuFjg.jpg
81,666373753744588802,Those are sunglasses and a jean jacket. 11/10 dog cool af https://t.co/uHXrPkUEyl,11.0,10.0,73,162,None,None,soft-coated_wheaten_terrier,0.326467,2015-11-16,https://pbs.twimg.com/media/CT9vZEYWUAAlZ05.jpg
80,666353288456101888,Here we have a mixed Asiago from the Galápagos Islands. Only one ear working. Big fan of marijuana carpet. 8/10 https://t.co/tltQ5w9aUO,8.0,10.0,56,179,None,None,malamute,0.3368739999999999,2015-11-16,https://pbs.twimg.com/media/CT9cx0tUEAAhNN_.jpg
79,666058600524156928,Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog https://t.co/pYAJkAe76p,8.0,10.0,47,99,the,None,miniature_poodle,0.201493,2015-11-16,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg
68,666063827256086533,This is the happiest dog you will ever see. Very committed owner. Nice couch. 10/10 https://t.co/RhUEAloehK,10.0,10.0,180,396,the,None,golden_retriever,0.77593,2015-11-16,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg
69,666071193221509120,Here we have a northern speckled Rhododendron. Much sass. Gives 0 fucks. Good tongue. 9/10 would caress sensually https://t.co/ZoL8kq2XFx,9.0,10.0,51,127,None,None,Gordon_setter,0.503672,2015-11-16,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg
71,666082916733198337,Here we have a well-established sunblockerspaniel. Lost his other flip-flop. 6/10 not very waterproof https://t.co/3RU6x0vHB7,6.0,10.0,37,92,None,None,pug,0.489814,2015-11-16,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg
82,666396247373291520,Oh goodness. A super rare northeast Qdoba kangaroo mix. Massive feet. No pouch (disappointing). Seems alert. 9/10 https://t.co/Dc7b0E8qFE,9.0,10.0,68,147,None,None,Chihuahua,0.978108,2015-11-16,https://pbs.twimg.com/media/CT-D2ZHWIAA3gK1.jpg
